blockgroup_FIPS,cumulative num of residential PVs by 2005,cumulative num of residential PVs by 2006,cumulative num of residential PVs by 2007,cumulative num of residential PVs by 2008,cumulative num of residential PVs by 2009,cumulative num of residential PVs by 2010,cumulative num of residential PVs by 2011,cumulative num of residential PVs by 2012,cumulative num of residential PVs by 2013,cumulative num of residential PVs by 2014,cumulative num of residential PVs by 2015,cumulative num of residential PVs by 2016,cumulative num of residential PVs by 2017,number of buildings,number of buildings with footprint < 600m^2,avg GHI (W/m^2),ACS: number of households (2016),"ACS: housing unit density (/mile^2, 2016)","ACS: median household income (inflation adjusted $ in 2016, 2016)",ACS: % housing units occupied (2016),ACS: % housing units occupied by renters (2016),ACS: avg number of years of education (2016),ACS: median age,ACS: racial diversity (Gini Simpson index)
10090501011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,546.0,195.55958904109585,551.0,164.89442581971082,31817.87775891341,85.96,64.43,12.017999999999999,35.2,0.66874772
10090501012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.0,688.0,195.55958904109585,472.0,122.86983072755055,39054.52971137522,100.0,24.79,12.13,38.7,0.42939211
10090501013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,866.0,195.55958904109585,625.0,40.69937579772589,38453.439728353136,93.28,32.32,12.2726,31.9,0.10781626000000004
10090501014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,763.0,195.55958904109585,497.0,30.376071427308478,46206.86587436333,83.25,24.95,13.5904,47.3,0.41282408
10090501015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.0,837.0,195.55958904109585,674.0,19.805106877981977,48381.85059422751,86.74,25.82,12.5105,44.3,0.28393085999999995
10090501021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.0,573.0,194.67979452054809,557.0,223.2634878801733,53307.52461799661,88.69,38.78,13.868100000000002,51.5,0.23559385999999996
10090501022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1162.0,1053.0,194.67979452054809,797.0,33.91723357149065,42303.860780984716,82.25,40.53,11.5392,37.8,0.44663283
10090501023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0,638.0,194.67979452054809,521.0,62.06969542421084,39001.039049236,81.41,28.21,12.4974,40.8,0.53860854
10090501024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1142.0,1110.0,194.67979452054809,700.0,27.400393186166266,61643.00169779287,86.42,12.14,13.636,40.6,0.19672686
10090502001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.0,1052.0,192.5146118721461,504.0,24.03682059818336,30436.18675721562,82.35,21.63,12.28,47.6,0.09105836
